WY,Dec,Jan,Feb,Mar,Apr,May
1997,6.84,12.15,2.74,2.45,2.7,2.96
1998,1.18,5.19,7.44,5.11,4.53,5.53
1999,1.88,2.6,4.59,3.67,3.26,4.27
2000,0.65,2.55,5.49,4.08,3.55,3.62
2001,0.67,0.87,1.5,2.39,2.03,2.49
2002,2.5,2.7,1.74,2.31,2.82,2.6
2003,3.24,3.4,1.66,2.52,3.27,4.82
2004,2.14,1.9,3.98,3.47,2.64,2.29
2005,1.56,2.49,2.01,3.75,3.18,7.23
2006,5.83,5.16,3.42,5.38,8.56,6.84
2007,1.32,0.87,2.14,2.07,1.74,1.67
2008,0.7,1.7,1.81,1.79,1.89,2.68
2009,0.57,0.96,2.32,3.64,2.4,4.21
2010,0.71,2.48,2.31,2.31,3.25,3.7
2011,4.31,2.1,1.96,6.2,5.23,4.94
2012,0.49,0.96,0.74,3.03,3.7,2.27
2013,4.09,1.34,1.08,1.71,2.02,1.43
2014,0.38,0.36,1.22,2.05,1.71,1.18
2015,2.89,0.79,2.23,0.84,0.76,0.82
2016,1.26,3.67,2.1,6.5,2.92,2.53
2017,3.71,8.53,12.65,5.52,6.61,5.84
2018,0.73,1.47,0.81,3.85,4.23,2.13
2019,0.86,2.83,5.2,5.89,6.16,4.97
2020,1.44,1.22,0.9,1.16,2.5,2.36
2021,0.47,0.72,0.97,1.08,1.41,1.21
